date,lat,lon,density
2017/01/01,-22.561794691645904,-44.6105884700245,415144.0
2017/01/01,-22.559496081924983,-44.6074127346705,366865.0
2017/01/01,-22.56393474211768,-44.6040653379461,292127.0
2017/01/01,-22.56393474211768,-44.5982288513496,228822.0
2017/01/01,-22.56813548534296,-44.6008896025921,259259.0
2017/01/01,-22.56274582947703,-44.5927356867114,191605.0
2017/01/01,-22.565995500257856,-44.5917057184885,173312.0
2017/01/01,-22.56020944773314,-44.5882724908071,173252.0
2017/01/01,-22.56567846246045,-44.5822643428401,105221.0
2017/01/01,-22.574501074208865,-44.6014902248534,240276.0
2017/01/01,-22.552506544377195,-44.5846013411127,139616.0
2017/01/01,-22.54037472752126,-44.5783943155764,191072.0
2017/01/01,-22.53597501399041,-44.570310747436,180223.0
2017/01/01,-22.538641523468275,-44.5675681077832,176222.0
2017/01/01,-22.533678626038647,-44.5682080439131,199630.0
2017/01/01,-22.535092786334225,-44.5671363040666,205850.0
2017/01/01,-22.53551703159882,-44.5641252254501,210643.0
2017/01/01,-22.53697831086638,-44.5624920980649,210336.0
2017/01/01,-22.53221731185253,-44.5663707756048,202192.0
2017/01/01,-22.531887335541462,-44.5637679788346,219143.0
2017/01/01,-22.53202875405704,-44.5612162172952,213817.0
2017/01/01,-22.52938891788948,-44.5604506888334,320521.0
2017/01/01,-22.526937596271328,-44.5580009977556,218030.0
2017/01/01,-22.529860320905605,-44.5580520329863,215923.0
2017/01/01,-22.527786135600465,-44.5637766705823,200017.0
2017/01/01,-22.529451032373533,-44.5638410435962,192305.0
2017/01/01,-22.530382573003013,-44.5654718266158,201624.0
2017/01/01,-22.52667619327016,-44.565557657301,184013.0
2017/01/01,-22.528559125883582,-44.5666519985379,203641.0
2017/01/01,-22.529589772865474,-44.567488847719,195031.0
2017/01/01,-22.528816788350014,-44.5674459323764,205345.0
2017/02/01,-22.56020944773314,-44.5882724908071,22335.0
2017/02/01,-22.56567846246045,-44.5822643428401,13407.0
2017/02/01,-22.552506544377195,-44.5846013411127,12372.0
2017/02/01,-22.54037472752126,-44.5783943155764,8525.0
2017/02/01,-22.53597501399041,-44.570310747436,3756.0
2017/02/01,-22.538641523468275,-44.5675681077832,5618.0
2017/03/01,-22.512634661393808,-44.6346937814449,47963.0
2017/03/01,-22.51050411891409,-44.6292315500837,58186.0
2017/03/01,-22.513307457460424,-44.6257114454287,59540.0
2017/03/01,-22.5124103953106,-44.6198850653101,70876.0
2017/03/01,-22.51835332357854,-44.6283818696498,49342.0
2017/03/01,-22.517232035916344,-44.6221913407737,73827.0
2017/03/01,-22.52295050787452,-44.626803891701,51148.0
2017/03/01,-22.527771780734053,-44.6264397429435,62616.0
2017/03/01,-22.53438674174624,-44.6275321892158,65927.0
2017/03/01,-22.54828293959759,-44.6206354627649,36119.0
2017/03/01,-22.561794691645904,-44.6105884700245,39318.0
2017/03/01,-22.559496081924983,-44.6074127346705,42628.0
2017/03/01,-22.56393474211768,-44.6040653379461,38483.0
2017/03/01,-22.56393474211768,-44.5982288513496,47537.0
2017/03/01,-22.56813548534296,-44.6008896025921,40092.0
2017/03/01,-22.56274582947703,-44.5927356867114,38527.0
2017/03/01,-22.565995500257856,-44.5917057184885,38608.0
2017/03/01,-22.56020944773314,-44.5882724908071,41766.0
2017/03/01,-22.56567846246045,-44.5822643428401,44833.0
2017/03/01,-22.574501074208865,-44.6014902248534,47278.0
2017/03/01,-22.552506544377195,-44.5846013411127,36905.0
2017/03/01,-22.54037472752126,-44.5783943155764,31313.0
2017/03/01,-22.53597501399041,-44.570310747436,34567.0
2017/03/01,-22.538641523468275,-44.5675681077832,37806.0
2017/03/01,-22.533678626038647,-44.5682080439131,36914.0
2017/03/01,-22.535092786334225,-44.5671363040666,33069.0
2017/03/01,-22.53551703159882,-44.5641252254501,43040.0
2017/03/01,-22.53697831086638,-44.5624920980649,46687.0
2017/03/01,-22.53221731185253,-44.5663707756048,33274.0
2017/03/01,-22.531887335541462,-44.5637679788346,40766.0
2017/03/01,-22.53202875405704,-44.5612162172952,33219.0
2017/03/01,-22.52938891788948,-44.5604506888334,45124.0
2017/03/01,-22.526937596271328,-44.5580009977556,35414.0
2017/03/01,-22.529860320905605,-44.5580520329863,38928.0
2017/03/01,-22.527786135600465,-44.5637766705823,44909.0
2017/03/01,-22.529451032373533,-44.5638410435962,34134.0
2017/03/01,-22.530382573003013,-44.5654718266158,40335.0
2017/03/01,-22.52667619327016,-44.565557657301,38592.0
2017/03/01,-22.528559125883582,-44.5666519985379,34360.0
2017/03/01,-22.529589772865474,-44.567488847719,38810.0
2017/03/01,-22.528816788350014,-44.5674459323764,41195.0
2017/04/01,-22.52527160253196,-44.6824797127753,85921.0
2017/04/01,-22.53193829712928,-44.6788709769984,42348.0
2017/04/01,-22.53507153271373,-44.6769222595319,37255.0
2017/04/01,-22.53373824978605,-44.673457873186,21503.0
2017/04/01,-22.54040453568439,-44.6713648064354,27260.0
2017/04/01,-22.535671505831274,-44.6672508476497,44879.0
2017/04/01,-22.541671093617136,-44.6639308107349,42759.0
2017/04/01,-22.536204813080563,-44.6660960522011,42236.0
2017/04/01,-22.53893798040274,-44.6605385991046,44350.0
2017/04/01,-22.532271623697536,-44.657651610483,45541.0
2017/04/01,-22.536938107185023,-44.6551976701547,42797.0
2017/04/01,-22.532705002033257,-44.6518087730433,36053.0
2017/04/01,-22.52306263241008,-44.6401560128061,21699.0
2017/04/01,-22.51824119522169,-44.6412484590783,15810.0
2017/04/01,-22.52171713197823,-44.6377283544233,22977.0
2017/04/01,-22.513531722088302,-44.6399132469678,18906.0
2017/04/01,-22.51678351830424,-44.635664844798,17283.0
2017/04/01,-22.512634661393808,-44.6346937814449,16121.0
2017/04/01,-22.51050411891409,-44.6292315500837,9816.0
2017/04/01,-22.513307457460424,-44.6257114454287,18745.0
2017/04/01,-22.5124103953106,-44.6198850653101,16245.0
2017/04/01,-22.51835332357854,-44.6283818696498,9084.0
2017/04/01,-22.517232035916344,-44.6221913407737,9330.0
2017/04/01,-22.52295050787452,-44.626803891701,10788.0
2017/04/01,-22.527771780734053,-44.6264397429435,8569.0
2017/04/01,-22.53438674174624,-44.6275321892158,9459.0
2017/04/01,-22.54828293959759,-44.6206354627649,20654.0
