sample_id,date,latitude,longitude,density_cells_per_ml,severity
919443b35974bb0104ba8bb861012fae,2023-09-01,-22.52527160253196,-44.6824797127753,707194.0,high
3b93549dcddef9ed13e5b4e72d85fc7c,2023-09-01,-22.53193829712928,-44.6788709769984,605017.0,high
164e29092b5f01932e0604ea74e13206,2023-09-01,-22.53507153271373,-44.6769222595319,651111.0,high
df73ddacef525a7c60f95983231e1271,2023-09-01,-22.53373824978605,-44.673457873186,452576.0,high
451fb74d32ceafd5ce48dc9737c3e4b1,2023-09-01,-22.54040453568439,-44.6713648064354,514495.0,high
92662bf2381deb623bf7fcb167ca1fce,2023-09-01,-22.535671505831274,-44.6672508476497,,
ba15c0c7cea2f91d3107ef64e3132be0,2023-09-01,-22.541671093617136,-44.6639308107349,,
c04e85e91933f13301cd6e261939bd4a,2023-09-01,-22.536204813080563,-44.6660960522011,,
5154a44653ef566449251a7daf8e5144,2023-09-01,-22.53893798040274,-44.6605385991046,,
a99016083aa00a60672a05c0eb2224a5,2023-09-01,-22.532271623697536,-44.657651610483,,
823fc9832ac54bd6c54b7c580874da19,2023-09-01,-22.536938107185023,-44.6551976701547,,
fd61fabc05c22614007371ba8ff8a065,2023-09-01,-22.532705002033257,-44.6518087730433,,
a03bc9cf3f6ac50951fc8c6ce383d17e,2023-09-01,-22.52306263241008,-44.6401560128061,375213.0,high
76804925f1c1ab257863b9783c573d41,2023-09-01,-22.51824119522169,-44.6412484590783,893664.0,high
bb28493ea401eb574c5ccae79e87ed95,2023-09-01,-22.52171713197823,-44.6377283544233,1170099.0,high
9c4f4b3bae49cc49dd9911cfb391e97e,2023-09-01,-22.513531722088302,-44.6399132469678,386570.0,high
1d01fe2822d0da18685fe0cae640846f,2023-09-01,-22.51678351830424,-44.635664844798,560341.0,high
c4481a0faac1b6b7d869659f8bb82c34,2023-09-01,-22.512634661393808,-44.6346937814449,466691.0,high
8c9a5c8d7f80cb6907d8843393f2a57e,2023-09-01,-22.51050411891409,-44.6292315500837,412751.0,high
b2a94b1ac2f8977bff26ce71077baa83,2023-09-01,-22.513307457460424,-44.6257114454287,440655.0,high
1d63e2460c31ef8793f4e376f65da0f0,2023-09-01,-22.5124103953106,-44.6198850653101,419796.0,high
